**Parameter**;**Datatype**;**Value Range**;**Explanation**
net;pandapipesNet;; Network to be plotted
respect_valves;boolean;True / False; Respect valves if artificial geodata is created, note: this Flag is ignored if plot_line_switches is True
pipe_width;float;:math:`>` 0; Specifies the pipe width
junction_size;float;:math:`>` 0; Relative size of junctions to plot
ext_grid_size;float;:math:`>` 0; Relative size of ext_grids to plot
plot_sinks;boolean;True / False; Flag to decide whether sink symbols should be drawn
plot_sources;boolean;True / False; Flag to decide whether source symbols should be drawn
sink_size;float;:math:`>` 0; Relative size of sinks to plot
source_size;float;:math:`>` 0; Relative size of sources to plot
valve_size;float;:math:`>` 0; Relative size of valves to plot
heat_exchanger_size;float;:math:`>` 0; Relative size of heat exchanger to plot
valve_distance;float;:math:`>` 0; Relative distance of the valve to its corresponding junction
scale_size;boolean;True / False; Flag if junction_size, ext_grid_size, valve_size- and distance will be scaled with respect to grid mean distances
junction_color;string / tuple;; Junction color
pipe_color;string / tuple;; Pipe color
ext_grid_color;string / tuple;; External grid color
library;string;"""igraph"" / ""networkx"""; Library name to create generic coordinates (case of missing geodata)
show_plot;boolean;True / False; If True, show plot at the end of plotting
ax;object;; matplotlib axis to plot
