**Parameter**;**component**;**Explanation**
pn_bar;junction;Initial value used for pressure
tfluid_k;junction;Initial value used for temperature calculation
height_m;junction;Defines the height level of the junction
loss_coefficient;pipe;A coefficient which introduces additional pressure losses
length_km;pipe;Length of the pipe
diameter_m;pipe;Inner pipe diameter
k_mm;pipe;Pipe roughness
u_w_per_m2k;pipe;The overall heat transfer coefficient between the pipe and the external environment
qext_w;pipe;An additional heat flow entering or leaving the pipe
text_k;pipe;The external temperature used to calculate heat losses
